model,cv_best_score,f1_macro,accuracy
esm1b_mean_xgb,0.7141159420289855,0.6918187964841109,0.6918604651162791
esm1b_mean_lr,0.7503583662714097,0.7238348755651328,0.7238372093023255
esm1b_mean_svm,0.743836627140975,0.7323319462769375,0.7325581395348837
esm1b_mean_rf,0.6363978919631094,0.6830082764800867,0.6831395348837209
esm1v_mean_xgb,0.6879631093544137,0.7091450216450216,0.7093023255813954
esm1v_mean_lr,0.730042160737813,0.7151066490890039,0.7151162790697675
esm1v_mean_svm,0.7293175230566535,0.7262908413746403,0.7267441860465116
esm1v_mean_rf,0.6284690382081687,0.6686046511627907,0.6686046511627907
dlm_avg_xgb,0.7024664031620553,0.7209207991075955,0.7209302325581395
dlm_avg_lr,0.7438392621870882,0.735409218077778,0.7354651162790697
dlm_avg_svm,0.7576205533596838,0.7499661933739012,0.75
dlm_avg_rf,0.6516732542819499,0.7174860935899281,0.7180232558139535
dlm_max_xgb,0.7024664031620553,0.7160049363802715,0.7180232558139535
dlm_max_lr,0.7561765480895917,0.7237788540372407,0.7238372093023255
dlm_max_svm,0.7663214756258234,0.7412768834241771,0.7412790697674418
dlm_max_rf,0.6045085638998682,0.6608471840509531,0.6715116279069767
dlm_sum_xgb,0.7118998682476944,0.7291361515862198,0.7296511627906976
dlm_sum_lr,0.7358603425559948,0.7083163749830417,0.7093023255813954
dlm_sum_svm,0.736558629776021,0.7204672422549517,0.7209302325581395
dlm_sum_rf,0.6408010540184452,0.6685598377281947,0.6686046511627907
mt_avg_xgb,0.7075309617918314,0.7225971292028488,0.7238372093023255
mt_avg_lr,0.74166534914361,0.7354449956476544,0.7354651162790697
mt_avg_svm,0.7540026350461133,0.7469197919749694,0.747093023255814
mt_avg_rf,0.6647457180500658,0.709263015551048,0.7093023255813954
mt_max_xgb,0.7024558629776021,0.7147229560474322,0.7180232558139535
mt_max_lr,0.74531488801054,0.7086720867208672,0.7093023255813954
mt_max_svm,0.7496574440052701,0.7201640511134462,0.7209302325581395
mt_max_rf,0.595794466403162,0.6091433683739655,0.6308139534883721
mt_sum_xgb,0.7068194993412386,0.736088379705401,0.7383720930232558
mt_sum_lr,0.7351409749670619,0.725817392484059,0.7267441860465116
mt_sum_svm,0.7308168642951252,0.7132162787532326,0.7151162790697675
mt_sum_rf,0.6313728590250329,0.7000110065954905,0.7005813953488372
