Model,Running_time_mm_ss
acp_esm1b_mean_xgb.sav,01:24
acp_esm1b_mean_lr.sav,00:18
acp_esm1b_mean_svm.sav,00:18
acp_esm1b_mean_rf.sav,00:41
acp_esm1v_mean_xgb.sav,01:17
acp_esm1v_mean_lr.sav,00:15
acp_esm1v_mean_svm.sav,00:36
acp_esm1v_mean_rf.sav,00:43
acp_dlm_avg_xgb.sav,01:32
acp_dlm_avg_lr.sav,00:34
acp_dlm_avg_svm.sav,00:43
acp_dlm_avg_rf.sav,01:06
acp_dlm_max_xgb.sav,01:27
acp_dlm_max_lr.sav,00:50
acp_dlm_max_svm.sav,00:46
acp_dlm_max_rf.sav,01:12
acp_dlm_sum_xgb.sav,01:28
acp_dlm_sum_lr.sav,00:43
acp_dlm_sum_svm.sav,00:47
acp_dlm_sum_rf.sav,01:14
acp_mt_avg_xgb.sav,01:29
acp_mt_avg_lr.sav,00:36
acp_mt_avg_svm.sav,00:45
acp_mt_avg_rf.sav,01:12
acp_mt_max_xgb.sav,01:34
acp_mt_max_lr.sav,00:45
acp_mt_max_svm.sav,00:43
acp_mt_max_rf.sav,01:12
acp_mt_sum_xgb.sav,01:46
acp_mt_sum_lr.sav,00:45
acp_mt_sum_svm.sav,00:45
acp_mt_sum_rf.sav,01:11
