model,cv_best_score,f1_macro,accuracy
esm1b_mean_xgb,0.9241179636909326,0.9286772486772487,0.9287833827893175
esm1b_mean_lr,0.9356647691128256,0.9336705766920186,0.933728981206726
esm1b_mean_svm,0.9346773886614363,0.9326681240157018,0.9327398615232443
esm1b_mean_rf,0.9082752921091121,0.9076417573242308,0.9080118694362018
esm1v_mean_xgb,0.9231267772576268,0.9188425603232906,0.9188921859545005
esm1v_mean_lr,0.9346763012380315,0.9336916141726503,0.933728981206726
esm1v_mean_svm,0.9350052468179271,0.9346715071196955,0.9347181008902077
esm1v_mean_rf,0.9063016186297377,0.91090592198026,0.9109792284866469
dlm_avg_xgb,0.9227978316777312,0.925786980986003,0.9258160237388724
dlm_avg_lr,0.92378738697593,0.9347073052354709,0.9347181008902077
dlm_avg_svm,0.9320371246350335,0.9406165075536272,0.9406528189910979
dlm_avg_rf,0.9096003175276343,0.9089039324918318,0.9090009891196835
dlm_max_xgb,0.9178489677633331,0.9218225260048334,0.9218595450049456
dlm_max_lr,0.9270877170089331,0.9307371594112119,0.9307616221562809
dlm_max_svm,0.9293963168969286,0.9317240225071226,0.9317507418397626
dlm_max_rf,0.9000375161074592,0.8961387751507948,0.8961424332344213
dlm_sum_xgb,0.9204919503482474,0.91883429672447,0.9188921859545005
dlm_sum_lr,0.9260987054224369,0.927771367502547,0.9277942631058358
dlm_sum_svm,0.9264303695608442,0.9346715071196955,0.9347181008902077
dlm_sum_rf,0.8904698212819634,0.8980632277579549,0.8981206726013847
mt_avg_xgb,0.922466167539324,0.9297656310388926,0.9297725024727992
mt_avg_lr,0.9297263499002287,0.9445853887714353,0.9446092977250248
mt_avg_svm,0.9317065479200309,0.9426013516159093,0.9426310583580614
mt_avg_rf,0.9043268577269588,0.8901802097145906,0.8902077151335311
mt_max_xgb,0.9198302532065398,0.9217906799801414,0.9218595450049456
mt_max_lr,0.9313786897635399,0.9435934681300696,0.9436201780415431
mt_max_svm,0.9330272236449346,0.9366690157387831,0.9366963402571711
mt_max_rf,0.8960825571848782,0.8822906118375674,0.8822947576656776
mt_sum_xgb,0.9231294958161383,0.927771367502547,0.9277942631058358
mt_sum_lr,0.9290684587404374,0.9415971417857181,0.9416419386745796
mt_sum_svm,0.9290690024521397,0.9317122593718338,0.9317507418397626
mt_sum_rf,0.9046585218653661,0.9020526194751752,0.9020771513353115
