Model,Running_time_mm_ss
amp_esm1b_mean_xgb.sav,2:19
amp_esm1b_mean_lr.sav,0:45
amp_esm1b_mean_svm.sav,0:59
amp_esm1b_mean_rf.sav,2:15
amp_esm1v_mean_xgb.sav,2:09
amp_esm1v_mean_lr.sav,0:37
amp_esm1v_mean_svm.sav,1:09
amp_esm1v_mean_rf.sav,2:16
amp_dlm_avg_xgb.sav,3:12
amp_dlm_avg_lr.sav,1:24
amp_dlm_avg_svm.sav,1:59
amp_dlm_avg_rf.sav,3:08
amp_dlm_max_xgb.sav,3:20
amp_dlm_max_lr.sav,2:20
amp_dlm_max_svm.sav,1:57
amp_dlm_max_rf.sav,3:14
amp_dlm_sum_xgb.sav,3:28
amp_dlm_sum_lr.sav,1:35
amp_dlm_sum_svm.sav,1:57
amp_dlm_sum_rf.sav,2:48
amp_mt_avg_xgb.sav,3:13
amp_mt_avg_lr.sav,1:15
amp_mt_avg_svm.sav,1:57
amp_mt_avg_rf.sav,3:21
amp_mt_max_xgb.sav,3:31
amp_mt_max_lr.sav,1:58
amp_mt_max_svm.sav,1:53
amp_mt_max_rf.sav,3:25
amp_mt_sum_xgb.sav,3:13
amp_mt_sum_lr.sav,1:28
amp_mt_sum_svm.sav,2:02
amp_mt_sum_rf.sav,3:13
