Model,Running_time_mm_ss
dbp_esm1b_mean_xgb.sav,15:41
dbp_esm1b_mean_lr.sav,02:23
dbp_esm1b_mean_svm.sav,13:24
dbp_esm1b_mean_rf.sav,11:16
dbp_esm1v_mean_xgb.sav,15:11
dbp_esm1v_mean_lr.sav,01:58
dbp_esm1v_mean_svm.sav,13:44
dbp_esm1v_mean_rf.sav,12:10
dbp_dlm_avg_xgb.sav,17:03
dbp_dlm_avg_lr.sav,05:33
dbp_dlm_avg_svm.sav,20:50
dbp_dlm_avg_rf.sav,17:13
dbp_dlm_max_xgb.sav,16:55
dbp_dlm_max_lr.sav,26:53
dbp_dlm_max_svm.sav,18:31
dbp_dlm_max_rf.sav,17:56
dbp_dlm_sum_xgb.sav,18:03
dbp_dlm_sum_lr.sav,49:37
dbp_dlm_sum_svm.sav,21:13
dbp_dlm_sum_rf.sav,14:09
dbp_mt_avg_xgb.sav,17:56
dbp_mt_avg_lr.sav,06:58
dbp_mt_avg_svm.sav,18:49
dbp_mt_avg_rf.sav,17:05
dbp_mt_max_xgb.sav,18:08
dbp_mt_max_lr.sav,26:14
dbp_mt_max_svm.sav,17:44
dbp_mt_max_rf.sav,17:16
dbp_mt_sum_xgb.sav,18:21
dbp_mt_sum_lr.sav,51:43
dbp_mt_sum_svm.sav,20:21
dbp_mt_sum_rf.sav,14:06
,
,
,35:29
,58:28
